k,n,n_wave
3,1409,759
3,1410,759
3,1411,759
3,1412,759
3,1413,759
3,1414,759
3,1415,759
3,1416,578
3,1417,759
3,1418,759
3,1419,578
3,1420,759
3,1421,578
3,1422,759
3,1423,759
3,1424,554
3,1425,554
3,1426,578
3,1427,759
3,1428,471
3,1429,578
3,1430,759
3,1431,759
3,1432,471
3,1433,759
3,1434,578
3,1435,759
3,1436,471
3,1437,759
3,1438,578
3,1439,578
3,1440,578
3,1441,759
3,1442,759
3,1443,759
3,1444,759
3,1445,578
3,1446,471
3,1447,578
3,1448,759
3,1449,554
3,1450,578
3,1451,759
3,1452,759
3,1453,578
3,1454,578
3,1455,759
3,1456,578
3,1457,759
3,1458,554
3,1459,759
3,1460,759
3,1461,759
3,1462,759
3,1463,759
3,1464,759
3,1465,471
3,1466,759
3,1467,759
3,1468,471
3,1469,759
3,1470,554
3,1471,578
3,1472,419
3,1473,759
3,1474,759
3,1475,759
3,1476,759
3,1477,759
3,1478,471
3,1479,578
3,1480,578
3,1481,759
3,1482,578
3,1483,578
3,1484,578
3,1485,471
3,1486,759
3,1487,759
3,1488,554
3,1489,578
3,1490,578
3,1491,759
3,1492,759
3,1493,471
3,1494,578
3,1495,759
3,1496,578
3,1497,554
3,1498,759
3,1499,419
3,1500,759
3,1501,578
3,1502,578
3,1503,578
3,1504,759
3,1505,578
3,1506,759
3,1507,554
3,1508,759
3,1509,759
3,1510,578
3,1511,578
3,1512,759
3,1513,759
3,1514,759
3,1515,759
3,1516,578
3,1517,578
3,1518,759
3,1519,759
3,1520,759
3,1521,554
3,1522,578
3,1523,759
3,1524,578
3,1525,471
3,1526,759
3,1527,759
3,1528,417
3,1529,759
3,1530,471
3,1531,759
3,1532,759
3,1533,578
3,1534,578
3,1535,759
3,1536,578
3,1537,759
3,1538,759
3,1539,759
3,1540,471
3,1541,759
3,1542,759
3,1543,759
3,1544,554
3,1545,759
3,1546,759
3,1547,759
3,1548,578
3,1549,578
3,1550,578
3,1551,554
3,1552,759
3,1553,578
3,1554,759
3,1555,578
3,1556,471
3,1557,578
3,1558,578
3,1559,578
3,1560,578
3,1561,759
3,1562,578
3,1563,578
3,1564,759
3,1565,578
3,1566,759
3,1567,578
3,1568,578
3,1569,759
3,1570,554
3,1571,759
3,1572,759
3,1573,578
3,1574,554
3,1575,759
3,1576,759
3,1577,759
3,1578,554
