k,n,n_wave
10,970,1427
10,971,1427
10,972,1427
10,973,1427
10,974,1427
10,975,1427
10,976,1427
10,977,1427
10,978,1427
10,979,1427
10,980,1427
10,981,1427
10,982,1427
10,983,1427
10,984,1427
10,985,1427
10,986,1427
10,987,1427
10,988,1427
10,989,1427
10,990,1427
10,991,1427
10,992,1427
10,993,1427
10,994,1427
10,995,1427
10,996,1427
10,997,1427
10,998,1427
10,999,1427
10,1000,1427
10,1001,1427
10,1002,1427
10,1003,1427
10,1004,1427
10,1005,1427
10,1006,1427
10,1007,1427
10,1008,1427
10,1009,1427
10,1010,1427
10,1011,1427
10,1012,1427
10,1013,1427
10,1014,1427
10,1015,1427
10,1016,1427
10,1017,1427
10,1018,1427
10,1019,1427
10,1020,1427
10,1021,1427
10,1022,1427
10,1023,1427
10,1024,1427
10,1025,1427
10,1026,1427
10,1027,1427
10,1028,1427
10,1029,1427
10,1030,1427
10,1031,1427
10,1032,1427
10,1033,1427
10,1034,1427
10,1035,1427
10,1036,1427
10,1037,1427
10,1038,1427
10,1039,1427
10,1040,1427
10,1041,1427
10,1042,1427
10,1043,1427
10,1044,1427
10,1045,1427
10,1046,1427
10,1047,1427
10,1048,1427
10,1049,1427
10,1050,1427
10,1051,1427
10,1052,1427
10,1053,1427
10,1054,1427
10,1055,1427
10,1056,1427
10,1057,1427
10,1058,1427
10,1059,1427
10,1060,1427
10,1061,1427
10,1062,1427
10,1063,1427
10,1064,1427
10,1065,1427
10,1066,1427
10,1067,1427
10,1068,1427
10,1069,1427
10,1070,1427
10,1071,1427
10,1072,1427
10,1073,1427
10,1074,1427
10,1075,1427
10,1076,1427
10,1077,1427
10,1078,1427
10,1079,1427
10,1080,1427
10,1081,1427
10,1082,1427
10,1083,1427
10,1084,1427
10,1085,1427
10,1086,1427
10,1087,1427
10,1088,1427
10,1089,1427
10,1090,1427
10,1091,1427
10,1092,1427
10,1093,1427
10,1094,1427
10,1095,1427
10,1096,1427
10,1097,1427
10,1098,1427
10,1099,1427
10,1100,1427
10,1101,1427
10,1102,1427
10,1103,1427
10,1104,1427
10,1105,1427
10,1106,1427
10,1107,1427
10,1108,1427
10,1109,1427
10,1110,1427
10,1111,1427
10,1112,1427
10,1113,1427
10,1114,1427
10,1115,1427
10,1116,1427
10,1117,1427
10,1118,1427
10,1119,1427
10,1120,1427
10,1121,1427
10,1122,1427
10,1123,1427
10,1124,1427
10,1125,1427
10,1126,1427
10,1127,1427
10,1128,1427
10,1129,1427
10,1130,1427
10,1131,1427
10,1132,1427
10,1133,1427
10,1134,1427
10,1135,1427
10,1136,1427
10,1137,1427
10,1138,1427
10,1139,1427
10,1140,1427
10,1141,1427
10,1142,1427
10,1143,1427
10,1144,1427
10,1145,1427
10,1146,1427
10,1147,1427
10,1148,1427
10,1149,1427
10,1150,1427
10,1151,1427
10,1152,1427
10,1153,1427
10,1154,1427
10,1155,1427
10,1156,1427
10,1157,1427
10,1158,1427
10,1159,1427
10,1160,1427
10,1161,1427
10,1162,1427
10,1163,1427
10,1164,1427
10,1165,1504
10,1166,1504
10,1167,1504
10,1168,1504
10,1169,1504
10,1170,1504
10,1171,1504
10,1172,1504
10,1173,1504
10,1174,1504
10,1175,1504
10,1176,1504
10,1177,1504
10,1178,1504
10,1179,1504
10,1180,1504
10,1181,1504
10,1182,1504
10,1183,1504
10,1184,1504
10,1185,1504
10,1186,1504
10,1187,1504
10,1188,1504
10,1189,1504
10,1190,1504
10,1191,1504
10,1192,1504
10,1193,1504
10,1194,1504
10,1195,1504
10,1196,1504
10,1197,1504
10,1198,1504
10,1199,1504
10,1200,1504
10,1201,1504
10,1202,1504
10,1203,1504
10,1204,1504
10,1205,1504
10,1206,1504
10,1207,1504
10,1208,1504
10,1209,1504
10,1210,1504
10,1211,1504
10,1212,1504
10,1213,1504
10,1214,1504
10,1215,1504
10,1216,1504
10,1217,1504
10,1218,1504
10,1219,1504
10,1220,1504
10,1221,1504
10,1222,1504
10,1223,1504
10,1224,1504
10,1225,1504
10,1226,1504
10,1227,1504
10,1228,1504
10,1229,1504
10,1230,1504
10,1231,1504
10,1232,1504
10,1233,1504
